Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label
"function dd(object, _context, _key, _root, _rootPath) {
    _root = _root || object;
    _rootPath = _rootPath || [];
    var drill = function(key) {
        var nextObject = (
            object &&
            object.hasOwnProperty(key) &&
            object[key] ||
            undefined
        );
        return dd(nextObject, object, key, _root, _rootPath.concat(key));
    };
    drill.val = object;
    drill.exists = object !== undefined;
    drill.set = function(value) {
        if (_rootPath.length === 0) {
            return;
        }
        var contextIterator = _root;
        for (var depth = 0; depth < _rootPath.length; depth++) {
            var key = _rootPath[depth];
            var isFinalDepth = (depth === _rootPath.length - 1);
            if (!isFinalDepth) {
                contextIterator[key] = (
                    contextIterator.hasOwnProperty(key) &&
                    typeof contextIterator[key] === 'object' ?
                        contextIterator[key] : {}
                );
                contextIterator = contextIterator[key];
            } else {
                _context = contextIterator;
                _key = key;
            }
        }
        _context[_key] = value;
        drill.val = value;
        drill.exists = value !== undefined;
        return value;
    };
    drill.update = function(value) {
        if (drill.exists) {
            _context[_key] = value;
            drill.val = value;
            return value;
        }
    };
    drill.invoke = isFunction(object) ? Function.prototype.bind.call(object, _context) : function () {
    };

    return drill;
}","function func0(variable0, variable1, variable2, variable3, variable4) {
    variable3 = variable3 || variable0;
    variable4 = variable4 || [];
    var variable5 = function (key) {
        var nextObject = variable0 && variable0.function hasOwnProperty() { [native code] }(key) && variable0[key] || undefined;
        return func0(nextObject, variable0, key, variable3, variable4.concat(key));
    };
    variable5.val = variable0;
    variable5.exists = variable0 !== undefined;
    variable5.set = function (value) {
        if (variable4.length === 0) {
            return;
        }
        var contextIterator = variable3;
        for (var depth = 0; depth < variable4.length; depth++) {
            var key = variable4[depth];
            var isFinalDepth = depth === variable4.length - 1;
            if (!isFinalDepth) {
                contextIterator[key] = contextIterator.function hasOwnProperty() { [native code] }(key) && typeof contextIterator[key] === 'object' ? contextIterator[key] : {};
                contextIterator = contextIterator[key];
            } else {
                variable1 = contextIterator;
                variable2 = key;
            }
        }
        variable1[variable2] = value;
        variable5.val = value;
        variable5.exists = value !== undefined;
        return value;
    };
    variable5.update = function (value) {
        if (variable5.exists) {
            variable1[variable2] = value;
            variable5.val = value;
            return value;
        }
    };
    variable5.invoke = isFunction(variable0) ? Function.prototype.bind.call(variable0, variable1) : function () {
    };
    return variable5;
}",drilldown Safely accesses deep properties of objects .,Returns a function that can be used to set a value to a variable .,Creates a new context object from the given value .,0,Prediction2
"function computeSourceURL(sourceRoot, sourceURL, sourceMapURL) {
  sourceURL = sourceURL || '';

  if (sourceRoot) {
    // This follows what Chrome does.
    if (sourceRoot[sourceRoot.length - 1] !== '/' && sourceURL[0] !== '/') {
      sourceRoot += '/';
    }
    // The spec says:
    //   Line 4: An optional source root, useful for relocating source
    //   files on a server or removing repeated values in the
    //   “sources” entry.  This value is prepended to the individual
    //   entries in the “source” field.
    sourceURL = sourceRoot + sourceURL;
  }

  // Historically, SourceMapConsumer did not take the sourceMapURL as
  // a parameter.  This mode is still somewhat supported, which is why
  // this code block is conditional.  However, it's preferable to pass
  // the source map URL to SourceMapConsumer, so that this function
  // can implement the source URL resolution algorithm as outlined in
  // the spec.  This block is basically the equivalent of:
  //    new URL(sourceURL, sourceMapURL).toString()
  // ... except it avoids using URL, which wasn't available in the
  // older releases of node still supported by this library.
  //
  // The spec says:
  //   If the sources are not absolute URLs after prepending of the
  //   “sourceRoot”, the sources are resolved relative to the
  //   SourceMap (like resolving script src in a html document).
  if (sourceMapURL) {
    var parsed = urlParse(sourceMapURL);
    if (!parsed) {
      throw new Error(""sourceMapURL could not be parsed"");
    }
    if (parsed.path) {
      // Strip the last path component, but keep the ""/"".
      var index = parsed.path.lastIndexOf('/');
      if (index >= 0) {
        parsed.path = parsed.path.substring(0, index + 1);
      }
    }
    sourceURL = join(urlGenerate(parsed), sourceURL);
  }

  return normalize(sourceURL);
}","function func0(variable0, variable1, variable2) {
    variable1 = variable1 || '';
    if (variable0) {
        if (variable0[variable0.length - 1] !== '/' && variable1[0] !== '/') {
            variable0 += '/';
        }
        variable1 = variable0 + variable1;
    }
    if (variable2) {
        var parsed = urlParse(variable2);
        if (!parsed) {
            throw new Error('sourceMapURL could not be parsed');
        }
        if (parsed.path) {
            var index = parsed.path.lastIndexOf('/');
            if (index >= 0) {
                parsed.path = parsed.path.substring(0, index + 1);
            }
        }
        variable1 = join(urlGenerate(parsed), variable1);
    }
    return normalize(variable1);
}",Compute the URL of a source given the the source root the source s URL and the source map s URL .,This function is the main entry point of the source map .,Generate a source map URL .,0,Prediction2
"function cdProjectRoot () {
    const projectRoot = this.getProjectRoot();
    if (!origCwd) {
        origCwd = process.env.PWD || process.cwd();
    }
    process.env.PWD = projectRoot;
    process.chdir(projectRoot);
    return projectRoot;
}","function func0() {
    const variable0 = this.getProjectRoot();
    if (!origCwd) {
        origCwd = process.env.PWD || process.cwd();
    }
    process.env.PWD = variable0;
    process.chdir(variable0);
    return variable0;
}",Cd to project root dir and return its path . Throw CordovaError if not in a Corodva project .,Set the current working directory .,Get the current working directory .,0,Prediction1
"function move(repoState, filepath, newFilepath) {
    if (filepath === newFilepath) {
        return repoState;
    }

    const initialWorkingState = repoState.getCurrentState();

    // Create new file, with Sha if possible
    const sha = WorkingUtils.findSha(initialWorkingState, filepath);
    let changeNewFile;
    if (sha) {
        changeNewFile = Change.createCreateFromSha(sha);
    } else {
        // Content not available as blob
        const blob = read(repoState, filepath);
        const contentBuffer = blob.getAsBuffer();
        changeNewFile = Change.createCreate(contentBuffer);
    }

    // Remove old file
    const removedRepoState = remove(repoState, filepath);
    // Add new file
    return ChangeUtils.setChange(removedRepoState, newFilepath, changeNewFile);
}","function func0(variable0, variable1, variable2) {
    if (variable1 === variable2) {
        return variable0;
    }
    const variable3 = variable0.getCurrentState();
    const variable4 = WorkingUtils.findSha(variable3, variable1);
    let variable5;
    if (variable4) {
        variable5 = Change.createCreateFromSha(variable4);
    } else {
        const blob = read(variable0, variable1);
        const contentBuffer = blob.getAsBuffer();
        variable5 = Change.createCreate(contentBuffer);
    }
    const variable6 = remove(variable0, variable1);
    return ChangeUtils.setChange(variable6, variable2, variable5);
}",Rename a file,Remove a file from the working set .,This function is used to remove a variable from the working set .,1,Prediction1
"function arrIncludes (arr, values) {
  if (!Array.isArray(values)) { return inArray(arr, values) }
  var len = values.length;
  var i = -1;

  while (i++ < len) {
    var j = inArray(arr, values[i]);
    if (j) {
      return j
    }
  }

  return false
}","function func0(variable0, variable1) {
    if (!Array.isArray(variable1)) {
        return inArray(variable0, variable1);
    }
    var variable2 = variable1.length;
    var variable3 = -1;
    while (variable3++ < variable2) {
        var variable4 = inArray(variable0, variable1[variable3]);
        if (variable4) {
            return variable4;
        }
    }
    return false;
}",> Check any of values exists on arr .,Returns true if variable0 is a member of variable1,Returns the index of the first element in an array .,0,Tie
"function find_attr_value(attrForms, attrName) {
  var attrVal;
  var attrPos = -1;
  if(attrForms && Array.isArray(attrForms)) {
    attrKey = attrForms.find(function (form, i) {
      attrPos = i;
      return (i % 2 === 1) && form.value === attrName;
    })
    if(attrKey && attrPos+1 < attrForms.length) {
      attrVal = attrForms[attrPos+1];
    }
  }
  return attrVal;
}","function func0(variable0, variable1) {
    var variable2;
    var variable3 = -1;
    if (variable0 && Array.isArray(variable0)) {
        attrKey = variable0.find(function (form, i) {
            variable3 = i;
            return i % 2 === 1 && form.value === variable1;
        });
        if (attrKey && variable3 + 1 < variable0.length) {
            variable2 = variable0[variable3 + 1];
        }
    }
    return variable2;
}",find the value form with the given name in the attribute forms otherwise undefined,Returns the value of variable1 in variable0,Get the value of an attribute in an array .,0,Prediction2
"function checkDir () {
  var n = indexes[i]
  if (i > 44) {
    indexes[i] = (indexes[i] + 5) % list.length
  }
  i = (i + 1) % indexes.length
  var dir = list[n]
  if (dir) {
    fs.stat(dir, function (e, stat) {
      if (!e && (stat.mtime > okToNotifyAfter)) {
        fs.readdir(dir, function (e, files) {
          if (!e) {
            files.forEach(function (file) {
              var path = dir + '/' + file
              fs.stat(path, function (e, stat) {
                if (!e && (stat.mtime > okToNotifyAfter)) {
                  notify(path)
                }
              })
            })
          }
        })
      }
    })
  }
}","function func0() {
    var variable0 = indexes[i];
    if (i > 44) {
        indexes[i] = (indexes[i] + 5) % list.length;
    }
    i = (i + 1) % indexes.length;
    var variable1 = list[variable0];
    if (variable1) {
        fs.stat(variable1, function (e, stat) {
            if (!e && stat.mtime > okToNotifyAfter) {
                fs.readdir(variable1, function (e, files) {
                    if (!e) {
                        files.forEach(function (file) {
                            var path = variable1 + '/' + file;
                            fs.stat(path, function (e, stat) {
                                if (!e && stat.mtime > okToNotifyAfter) {
                                    notify(path);
                                }
                            });
                        });
                    }
                });
            }
        });
    }
}",Check a directory for changes .,Check if there is a file in the list .,This function is called at the beginning of the function,1,Prediction1
"function read_keyword_summary(input, offset) {
      var scanner = Scanner(input);
      scanner.forward(offset);
      return {
        num_blocks:           scanner.readNum(),
        num_entries:          scanner.readNum(),
        key_index_decomp_len: _v2 && scanner.readNum(),  // Ver >= 2.0 only
        key_index_comp_len:   scanner.readNum(),
        key_blocks_len:       scanner.readNum(),
        chksum:               scanner.checksum_v2(),
        // extra field
        len:                  scanner.offset() - offset,  // actual length of keyword section, varying with engine version attribute
      };
    }","function func0(variable0, variable1) {
    var variable2 = Scanner(variable0);
    variable2.forward(variable1);
    return {
        num_blocks: variable2.readNum(),
        num_entries: variable2.readNum(),
        key_index_decomp_len: _v2 && variable2.readNum(),
        key_index_comp_len: variable2.readNum(),
        key_blocks_len: variable2.readNum(),
        chksum: variable2.checksum_v2(),
        len: variable2.variable1() - variable1
    };
}",Read keyword summary at the begining of keyword section .,function 0 - > variable0 - > variable1,Read a block from the input stream .,0,Prediction2
"function addComment(type, value, start, end, loc) {
            var comment;
            assert(typeof start === 'number', 'Comment must have valid position');
    
            // Because the way the actual token is scanned, often the comments
            // (if any) are skipped twice during the lexical analysis.
            // Thus, we need to skip adding a comment if the comment array already
            // handled it.
            if (state.lastCommentStart >= start) {
                return;
            }
            state.lastCommentStart = start;
    
            comment = {
                type: type,
                value: value
            };
            if (extra.range) {
                comment.range = [start, end];
            }
            if (extra.loc) {
                comment.loc = loc;
            }
            extra.comments.push(comment);
            if (extra.attachComment) {
                extra.leadingComments.push(comment);
                extra.trailingComments.push(comment);
            }
        }","function func0(variable0, variable1, variable2, variable3, variable4) {
    var variable5;
    assert(typeof variable2 === 'number', 'Comment must have valid position');
    if (state.lastCommentStart >= variable2) {
        return;
    }
    state.lastCommentStart = variable2;
    variable5 = {
        variable0: variable0,
        variable1: variable1
    };
    if (extra.range) {
        variable5.range = [
            variable2,
            variable3
        ];
    }
    if (extra.variable4) {
        variable5.variable4 = variable4;
    }
    extra.comments.push(variable5);
    if (extra.attachComment) {
        extra.leadingComments.push(variable5);
        extra.trailingComments.push(variable5);
    }
}",7 . 4 Comments,Adds a comment to the current state .,Adds a comment to the comment stack .,1,Tie
"function setBrightness(addr, intensity) {
	    if(addr<0 || addr>=maxDevices)
			return;
	 	if (typeof intensity == 'undefined') return; 
		
		intensity = constrain(intensity, 0, 15); 
	    	
		spiTransfer(addr, OP_INTENSITY,intensity);

	}","function func0(variable0, variable1) {
    if (variable0 < 0 || variable0 >= maxDevices)
        return;
    if (typeof variable1 == 'undefined')
        return;
    variable1 = constrain(variable1, 0, 15);
    spiTransfer(variable0, OP_INTENSITY, variable1);
}",sets the brightness of the LEDs 0 to 15,Function 0 - > void,Set the current interrupt level for a device .,0,Prediction2
