Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label,
"def func_from_info(self):
        
        info = self.funcinfo
        functype = info['func_type']
        if functype in ['instancemethod', 'classmethod', 'staticmethod']:
            the_modelclass = get_module_member_by_dottedpath(info['class_path'])
            if functype == 'instancemethod':
                the_modelobject = the_modelclass.objects.get(pk=info['model_pk'])
                the_callable = get_member(the_modelobject, info['func_name'])
            else:
                the_callable = get_member(the_modelclass, info['func_name'])
            return the_callable
        elif functype == 'function':
            mod = import_module(info['module_name'])
            the_callable = get_member(mod, info['func_name'])
            return the_callable
        else:
            raise ValueError(f""Unknown functype '{functype} in task {self.pk} ({self.label})"")","

def func1(arg1):
    var1 = self.funcinfo
    var2 = var1['func_type']
    if (var2 in ['instancemethod', 'classmethod', 'staticmethod']):
        var3 = get_module_member_by_dottedpath(var1['class_path'])
        if (var2 == 'instancemethod'):
            var5 = the_modelclass.objects.get(pk=var1['model_pk'])
            var6 = get_member(var5, var1['func_name'])
        else:
            var6 = get_member(var3, var1['func_name'])
        return var6
    elif (var2 == 'function'):
        var8 = import_module(var1['module_name'])
        var6 = get_member(var8, var1['func_name'])
        return var6
    else:
        raise ValueError(f""Unknown functype '{var2} in task {self.pk} ({self.label})"")
",Find and return a callable object from a task info dictionary,Return the value of the first function in this task,Get the callable for this task .,0,Prediction2,
"def _choose_front_id_from_candidates(candidate_offset_front_ids, offset_fronts, offsets_corresponding_to_onsets):
    
    noverlaps = []  # will contain tuples of the form (number_overlapping, offset_front_id)
    for offset_front_id in candidate_offset_front_ids:
        offset_front_f_idxs, offset_front_s_idxs = np.where(offset_fronts == offset_front_id)
        offset_front_idxs = [(f, i) for f, i in zip(offset_front_f_idxs, offset_front_s_idxs)]
        noverlap_this_id = len(set(offset_front_idxs).symmetric_difference(set(offsets_corresponding_to_onsets)))
        noverlaps.append((noverlap_this_id, offset_front_id))
    _overlapped, chosen_offset_front_id = max(noverlaps, key=lambda t: t[0])
    return int(chosen_offset_front_id)","

def func1(arg1, arg2, arg3):
    var1 = []
    for var2 in arg1:
        (var3, var4) = np.where((arg2 == var2))
        var5 = [(var6, var7) for (var6, var7) in zip(var3, var4)]
        var9 = len(set(offset_front_idxs).symmetric_difference(set(arg3)))
        noverlaps.append((var9, var2))
    (var12, var13) = max(var1, key=(lambda arg4: arg4[0]))
    return int(var13)
",Returns a front ID which is the id of the offset front that contains the most overlap with offsets that correspond to the given onset front ID .,func1 returns the index of the first occurrence of arg2 in arg3,Choose an offset front id from a list of candidate fronts .,0,Prediction2,
"def first(self) -> Signature:
        
        k = sorted(self._hsig.keys())
        return self._hsig[k[0]]","

def func1(arg1) -> var3:
    var1 = sorted(self._hsig.keys())
    return self._hsig[var1[0]]
",Retrieve the first Signature ordered by mangling descendant,Return the signature of arg1 .,Return the first signature .,0,Prediction2,
"def reset(self, new_session=True):
        
        self.output_hist.clear()
        # The directory history can't be completely empty
        self.dir_hist[:] = [os.getcwdu()]
        
        if new_session:
            if self.session_number:
                self.end_session()
            self.input_hist_parsed[:] = [""""]
            self.input_hist_raw[:] = [""""]
            self.new_session()","

def func1(arg1, arg2=True):
    self.output_hist.clear()
    self.dir_hist[:] = [os.getcwdu()]
    if arg2:
        if self.session_number:
            self.end_session()
        self.input_hist_parsed[:] = ['']
        self.input_hist_raw[:] = ['']
        self.new_session()
",Clear the session history releasing all object references and optionally open a new session .,Called when a command is received from the server .,Reset the history .,0,Prediction2,
"def create_tfs_tfvc_client(url, token=None):
    
    if token is None:
        token = os.environ.get('TFS_API_TOKEN', None)

    tfs_connection = create_tfs_connection(url, token)
    tfs_tfvc_client = tfs_connection.get_client('vsts.tfvc.v4_1.tfvc_client.TfvcClient')

    if tfs_tfvc_client is None:
        msg = 'Unable to create TFS Git Client, failed to connect to TFS Enterprise (%s) with provided token.'
        raise RuntimeError(msg, url)

    return tfs_tfvc_client","

def func1(arg1, arg2=None):
    if (arg2 is None):
        arg2 = os.environ.get('TFS_API_TOKEN', None)
    var1 = create_tfs_connection(arg1, arg2)
    var3 = tfs_connection.get_client('vsts.tfvc.v4_1.tfvc_client.TfvcClient')
    if (var3 is None):
        var4 = 'Unable to create TFS Git Client, failed to connect to TFS Enterprise (%s) with provided token.'
        raise RuntimeError(var4, arg1)
    return var3
",Creates a TFS TFVC Client to pull TFVC repo info,Function to connect to TFS Enterprise with provided token,Create a TFS Git Client .,0,Tie,
"def semilocal_linear_trend_transition_matrix(autoregressive_coef):
  
  # We want to write the following 2 x 2 matrix:
  #  [[1., 1., ],    # level(t+1) = level(t) + slope(t)
  #   [0., ar_coef], # slope(t+1) = ar_coef * slope(t)
  # but it's slightly tricky to properly incorporate the batch shape of
  # autoregressive_coef. E.g., if autoregressive_coef has shape [4,6], we want
  # to return shape [4, 6, 2, 2]. We do this by breaking the matrix into its
  # fixed entries, written explicitly, and then the autoregressive_coef part
  # which we add in after using a mask to broadcast to the correct matrix shape.

  fixed_entries = tf.constant(
      [[1., 1.],
       [0., 0.]],
      dtype=autoregressive_coef.dtype)

  autoregressive_coef_mask = tf.constant([[0., 0.],
                                          [0., 1.]],
                                         dtype=autoregressive_coef.dtype)
  bottom_right_entry = (autoregressive_coef[..., tf.newaxis, tf.newaxis] *
                        autoregressive_coef_mask)
  return tf.linalg.LinearOperatorFullMatrix(
      fixed_entries + bottom_right_entry)","

def func1(arg1):
    var1 = tf.constant([[1.0, 1.0], [0.0, 0.0]], dtype=autoregressive_coef.dtype)
    var2 = tf.constant([[0.0, 0.0], [0.0, 1.0]], dtype=autoregressive_coef.dtype)
    var3 = (arg1[(..., tf.newaxis, tf.newaxis)] * var2)
    return tf.linalg.LinearOperatorFullMatrix((var1 + var3))
",Build the transition matrix for a semi - local linear trend model .,Function 1 .,Returns the semilocal linear trend transition matrix .,0,Prediction2,
"def flat_plane(script, plane=0, aspect_ratio=False):
    
    filter_xml = ''.join([
        '  <filter name=""Parametrization: Flat Plane "">\n',
        '    <Param name=""projectionPlane""',
        'value=""%d""' % plane,
        'description=""Projection plane""',
        'enum_val0=""XY""',
        'enum_val1=""XZ""',
        'enum_val2=""YZ""',
        'enum_cardinality=""3""',
        'type=""RichEnum""',
        'tooltip=""Choose the projection plane""',
        '/>\n',
        '    <Param name=""aspectRatio""',
        'value=""%s""' % str(aspect_ratio).lower(),
        'description=""Preserve Ratio""',
        'type=""RichBool""',
        'tooltip=""If checked the resulting parametrization will preserve the original apsect ratio of the model otherwise it will fill up the whole 0..1 uv space""',
        '/>\n',
        '  </filter>\n'])
    util.write_filter(script, filter_xml)
    return None","

def func1(arg1, arg2=0, arg3=False):
    var1 = ''.join(['  <filter name=""Parametrization: Flat Plane "">\n', '    <Param name=""projectionPlane""', ('value=""%d""' % arg2), 'description=""Projection plane""', 'enum_val0=""XY""', 'enum_val1=""XZ""', 'enum_val2=""YZ""', 'enum_cardinality=""3""', 'type=""RichEnum""', 'tooltip=""Choose the projection plane""', '/>\n', '    <Param name=""aspectRatio""', ('value=""%s""' % str(aspect_ratio).lower()), 'description=""Preserve Ratio""', 'type=""RichBool""', 'tooltip=""If checked the resulting parametrization will preserve the original apsect ratio of the model otherwise it will fill up the whole 0..1 uv space""', '/>\n', '  </filter>\n'])
    util.write_filter(arg1, var1)
    return None
",Flat plane parameterization,Apply flat plane filter to a script .,Create a flat plane parametrization filter,1,Tie,
"def run(self):
        
        try:
            while True:
                msg, args, kwargs = self._receive_data()
                stop = self._handle_data(msg, args, kwargs)
                if stop:
                    break
        finally:
            if self._storage_service.is_open:
                self._close_file()
            self._trajectory_name = ''","

def func1(arg1):
    try:
        while True:
            (var1, var2, var3) = self._receive_data()
            var4 = self._handle_data(var1, var2, var3)
            if var4:
                break
    finally:
        if self._storage_service.is_open:
            self._close_file()
        self._trajectory_name = ''
",Starts listening to the queue .,Run the trajectories .,Receives data and handles it .,1,Prediction2,
"def set_constant(self, name, value):
        
        assert isinstance(name, str) or isinstance(name, sympy.Symbol), \
            ""constant name needs to be of type str, unicode or a sympy.Symbol""
        assert type(value) is int, ""constant value needs to be of type int""
        if isinstance(name, sympy.Symbol):
            self.constants[name] = value
        else:
            self.constants[symbol_pos_int(name)] = value","

def func1(arg1, arg2, arg3):
    assert (isinstance(arg2, var2) or isinstance(arg2, sympy.Symbol)), 'constant name needs to be of type str, unicode or a sympy.Symbol'
    assert (type(arg3) is var4), 'constant value needs to be of type int'
    if isinstance(arg2, sympy.Symbol):
        self.constants[arg2] = arg3
    else:
        self.constants[symbol_pos_int(arg2)] = arg3
",Set constant of name to value .,Set a constant .,This function is used to set the value of a constant .,1,Tie,
"def download_price(self, symbol: str, currency: str, agent: str) -> PriceModel:
        
        price = self.__download_price(symbol, currency, agent)
        self.save()
        return price","

def func1(arg1, arg2: str, arg3: str, arg4: str) -> var2:
    var1 = self.__download_price(arg2, arg3, arg4)
    self.save()
    return var1
",Download and save price online,Function to download and save the price .,Download a price for a symbol and currency .,0,Tie,
